fname,coef_os,coef_pfs,gid,select_os,select_pfs,select_both
Feature_CNA_Del_4q13.2  ,-0.32833366970537653,-0.08870687892115038,Del_4q13.2  ,True,False,False
Feature_CNA_Del_6q25.2  ,0.09466900291757349,0.20760086740135889,Del_6q25.2  ,False,True,False
Feature_CNA_Del_7p22.3  ,-0.31941789820180344,-0.15744014284812874,Del_7p22.3  ,True,False,False
Feature_CNA_Del_8p23.1  ,0.04068908694680237,0.029357040193941985,Del_8p23.1  ,False,False,False
Feature_CNA_Del_8p11.22 ,-0.26780237460956613,-0.06702587122236948,Del_8p11.22 ,True,False,False
Feature_CNA_Del_8q24.13 ,-0.3141112055108387,-0.07283278779747131,Del_8q24.13 ,True,False,False
Feature_CNA_Del_9p21.3  ,0.03367489083456596,-0.11057921346401628,Del_9p21.3  ,False,False,False
Feature_CNA_Del_9q13    ,0.6933494113105002,0.4274057699276093,Del_9q13    ,True,True,True
Feature_CNA_Del_10q24.32,-0.11657091295543999,-0.06247103992622952,Del_10q24.32,False,False,False
Feature_CNA_Del_11p11.12,0.30502671762713923,0.39832045487185946,Del_11p11.12,True,True,True
Feature_CNA_Del_11q22.2 ,0.002139266614902656,-0.16376358999622653,Del_11q22.2 ,False,False,False
Feature_CNA_Del_12p13.2 ,0.13732831784991859,0.2914413559117613,Del_12p13.2 ,False,True,False
Feature_CNA_Del_12q24.33,-0.3805856065876162,-0.04665898602078944,Del_12q24.33,True,False,False
Feature_CNA_Del_13q11   ,-0.5528233340855795,-0.4258066707998993,Del_13q11   ,True,True,True
Feature_CNA_Del_13q14.13,0.9749354823153216,0.607078472691826,Del_13q14.13,True,True,True
Feature_CNA_Del_13q14.2 ,-0.1331159915489932,-0.19523733513718897,Del_13q14.2 ,False,False,False
Feature_CNA_Del_13q21.1 ,-0.10654987446593779,0.13563400352517294,Del_13q21.1 ,False,False,False
Feature_CNA_Del_14q32.33,0.2047889400064427,0.20893428283977167,Del_14q32.33,True,True,True
Feature_CNA_Del_16p13.3 ,-0.09114518276530144,0.0610485499219197,Del_16p13.3 ,False,False,False
Feature_CNA_Del_16p11.1 ,0.6336606823060245,0.0,Del_16p11.1 ,True,False,False
Feature_CNA_Del_16q12.1 ,-0.12563765173001729,0.03135423139603402,Del_16q12.1 ,False,False,False
Feature_CNA_Del_16q12.2 ,0.017416666407191927,-0.04004783928179808,Del_16q12.2 ,False,False,False
Feature_CNA_Del_16q22.1 ,-0.5614981211317399,-0.28081438349029214,Del_16q22.1 ,True,True,True
Feature_CNA_Del_16q23.1 ,0.11697281087055701,0.10958914859042546,Del_16q23.1 ,False,False,False
Feature_CNA_Del_17p13.1 ,0.3585330939928664,0.04046145447804257,Del_17p13.1 ,True,False,False
Feature_CNA_Del_20p13   ,-0.018521176277317506,-0.0412616358261882,Del_20p13   ,False,False,False
Feature_CNA_Del_20q11.1 ,-0.2159385633992296,0.0589704582051328,Del_20q11.1 ,True,False,False
Feature_CNA_Del_20q13.11,0.1989969384454565,0.0,Del_20q13.11,False,False,False
Feature_CNA_Del_21p11.2 ,-0.16075467511784935,0.002905314836890731,Del_21p11.2 ,False,False,False
Feature_CNA_Del_22p11.2 ,-0.3003931609065109,-0.3897853250833294,Del_22p11.2 ,True,True,True
Feature_CNA_Del_22q11.22,0.3230821749990699,0.10735137897686767,Del_22q11.22,True,False,False
