PUBLIC_ID	chromothripsis
7f0c0a175a0c23cec808fa31d7ee4907f952c83ff557aebb3990d6b77344dd60	negative
ffcfab4fb32d24b5d83d8e245b8fd75b2405a1acc6b2c7722633bd5f546d95c8	negative
65a6fe349375f2712e6769322feaf94e64b7be762ccecad4056e6a4fbc8168fd	highconf
1fa2b190b9f292f59688cc1c91cf13931ded3adf23afb1f8098fbddf59810257	negative
b2202e5cfa5cff9569f926fd9ff780802e39a34e59f039e29c48fe40aed7e9a5	negative
077eee2bebc0dd8a4f0c346a07856be73812e2fa0f667101b59c68f03cc54d0c	lowconf
c1a20a36de0d931d87c22b26d381eb9aa47084e0ea1bc562664c64c320b8ca0b	highconf
5f06068fa6278eefc5689c9c68a3686237a503ab64ca58cf605e0dcde4857e94	lowconf
374d9d686c848cf256c85d1f2047068c9f65024d2919398da2a60da44286e656	negative
2d09c7294ae296ad245c6b2b0ea2762eb618318cdbe3a20af75b8b507d285d2a	negative
d1068d3822bd5a4beee0051fc73608a4be9bddb678caaeeeba773f34eac28039	negative
dafdab0e7f2090be45fea9246053cc18bd10d67f7a415f44d42bf11599ab2b0d	lowconf
36809affa8de691e0c83816afd3946979ae6019962d0f38ad81c198949d648af	negative
9bebfbba3a443b1991957bffc81a046009c3b3f57534032459dae76bad9a9438	lowconf
a4c1621d2aeefc464a5e06a72b71a4657e1697e92d65d3519e431971a21e100a	lowconf
07140092a7472d631e42894a00a1e85fc37676742cb09199003e7dcea02e1bcc	negative
a4da342ab4d29b822a953ae36e61a14ed5312822c69d4fb889f0a0f056a436fb	negative
15ef4764b41a29484027b4327067ebf1f9abc4093f48ca45c84096442bd15f2e	negative
c4f27b1964113acd7e21ac1ee4881d1e52f01553083b3ebce5f10fe01056ec7f	negative
6e762912cf549f75e2bf66a442ae8ebbf5ca8cac69bb1252f4ac6fe493f566d6	negative
000066022ec6b17dc8d5f41ee66a5d6642982420b6bfeeda98d6c05bf31d067e	negative
16fdfedb2156c0f668e12b6a7cc35385264643603c568b4fac63b3e286fa70de	negative
0672d76afcf560b3e402ce03ed6d11da8e239e5fc4573956abf03ff7e7bc16ff	negative
f19f1b6fe8a63c55b2bee92d1fd840e526009176c86b575dbb56a76af61ecc03	negative
13c67c96aeacfddfeead70f7a2e9b21e0b8b64abc6e6d5ea87ead0629c64be3a	highconf
912c63faf0f55443d01726cc6c9f1a9a38435fac8ec9241d734d710de5e042be	highconf
17066d69036587b0aa26bab2a38c23f2950085ae0101ac021e9c61b5efde0471	lowconf
652e9cdfe4f72588140dbeff9c94b903e18e96d239bc1c12496dedaf30d902d9	negative
4bb8d5ee1692e9d8576ada1cbe0b6368b322a6453502944983afb2308b884e4b	negative
d2887ecd75182e7e94ecdb4b611065a2986a18f1b17266071d37f322e55a781b	negative
8f13a8ba139fc7bf1679b2dbcebeca6dc762d301d7e0c1a36beea9583b3df954	negative
b66dcdd0f20a6292da32791fed5403f8254edac429510f3a56ccad82bc825cc7	lowconf
8fd2e37074ee725437d9f2b53f8c9c44c9f176d323d5d70b75031770368d842e	highconf
61fc583cbde7ed16a7483ff917d89b9684c23d144ab4bf2aae428d6806aab3f9	lowconf
9084b0e8d97db2209e70d819a05957887725e15750bedc70ef06b832066f367c	negative
441f996b5db8f97b49be59ea6f2c095a383df8e68957e004447427cd076d33d7	negative
32d88c194cf5a879520b9ec153a9a679ede561f9d8f9568e8f55e7df04df8b7e	negative
1761df2affb8a41d2aa5b89df15e1a833c2119f349a2d02ce7b6d831c2e63ba0	highconf
56c6dc2546566a00c483de781b9a01bf61c86eea78a4d147db3feb373ee431a5	negative
089161a18129b73b95222ebc5165e36b1c43048f3733604062f2ec3c34447347	lowconf
33f273ac9558cde39c0d201ec5c6bb36bd822f47e29c907639e09088d48b59b1	negative
ddcea0dcf12440c272cdc8ff15f2dc911a84238c5e5e948a54871bcd9a04eb8e	negative
e294ff4db928a0cb981a766ffe47b1c21e847bd591a675ea432f965a9468908c	negative
759a7ef28f9ecc5866c94932750e97c1e2bd1b5aaf7171e90e43ac5ba6754938	negative
